GEOID,property_value
2.5025E+11,1240968266
2.5025E+11,156997049
2.5025E+11,125693330
2.5025E+11,162598012
2.5025E+11,151593939
2.5025E+11,106565363
2.5025E+11,202063593
2.5025E+11,116158645
2.5025E+11,284474116
2.5025E+11,126918240
2.5025E+11,112765265
2.5025E+11,23992400
2.5025E+11,83430416
2.5025E+11,105655776
2.5025E+11,76500614
2.5025E+11,113999092
2.5025E+11,240271108
2.5025E+11,140845160
2.5025E+11,84994400
2.5025E+11,109978112
2.5025E+11,129052336
2.5025E+11,300115851
2.5025E+11,260074091
2.5025E+11,210802603
2.5025E+11,201649287
2.5025E+11,71138720
2.5025E+11,84568600
2.5025E+11,150577960
2.5025E+11,765100
2.5025E+11,34120100
2.5025E+11,105325100
2.5025E+11,86768362
2.5025E+11,83552050
2.5025E+11,103006900
2.5025E+11,115151581
2.5025E+11,96575100
2.5025E+11,204886549
2.5025E+11,114697925
2.5025E+11,180599379
2.5025E+11,236032605
2.5025E+11,718359708
2.5025E+11,841795805
2.5025E+11,64990200
2.5025E+11,43767460
2.5025E+11,28659300
2.5025E+11,92646435
2.5025E+11,88451000
2.5025E+11,49412000
2.5025E+11,172471310
2.5025E+11,160323838
2.5025E+11,158372524
2.5025E+11,102180933
2.5025E+11,55606699
2.5025E+11,230364208
2.5025E+11,324315605
2.5025E+11,104217449
2.5025E+11,299058140
2.5025E+11,356317796
2.5025E+11,1178933714
2.5025E+11,1173155900
2.5025E+11,554791178
2.5025E+11,273793414
2.5025E+11,236638277
2.5025E+11,223283996
2.5025E+11,371449428
2.5025E+11,194290700
2.5025E+11,85428205
2.5025E+11,404289420
2.5025E+11,195339895
2.5025E+11,492160106
2.5025E+11,150186700
2.5025E+11,130360400
2.5025E+11,780029607
2.5025E+11,1133605877
2.5025E+11,12329607183
2.5025E+11,126303328
2.5025E+11,123888326
2.5025E+11,234118400
2.5025E+11,356255096
2.5025E+11,263431728
2.5025E+11,86961992
2.5025E+11,17870788800
2.5025E+11,252958484
2.5025E+11,158532540
2.5025E+11,145633508
2.5025E+11,1350562587
2.5025E+11,246444408
2.5025E+11,152192223
2.5025E+11,3463621300
2.5025E+11,395716171
2.5025E+11,706554795
2.5025E+11,203430667
2.5025E+11,464931200
2.5025E+11,1993274394
2.5025E+11,217302300
2.5025E+11,588284200
2.5025E+11,140236341
2.5025E+11,112724001
2.5025E+11,89669900
2.5025E+11,282309852
2.5025E+11,126998404
2.5025E+11,176120772
2.5025E+11,612823381
2.5025E+11,329090994
2.5025E+11,615530977
2.5025E+11,432522032
2.5025E+11,213908000
2.5025E+11,161068805
2.5025E+11,309020052
2.5025E+11,1458910359
2.5025E+11,5752000
2.5025E+11,492993186
2.5025E+11,2140735656
2.5025E+11,3674700
2.5025E+11,187777191
2.5025E+11,128197607
2.5025E+11,229688537
2.5025E+11,569262668
2.5025E+11,1419535995
2.5025E+11,3224404976
2.5025E+11,526271400
2.5025E+11,219401096
2.5025E+11,195890723
2.5025E+11,41051600
2.5025E+11,109711096
2.5025E+11,99461100
2.5025E+11,168054143
2.5025E+11,174652548
2.5025E+11,811976452
2.5025E+11,198091879
2.5025E+11,630048118
2.5025E+11,219968330
2.5025E+11,106669721
2.5025E+11,102847300
2.5025E+11,154582900
2.5025E+11,213811084
2.5025E+11,206744367
2.5025E+11,406847561
2.5025E+11,254242889
2.5025E+11,1350489212
2.5025E+11,271430708
2.5025E+11,375761400
2.50251E+11,146254770
2.50251E+11,40796700
2.50251E+11,119436478
2.50251E+11,140865872
2.50251E+11,87137632
2.50251E+11,56070026
2.50251E+11,71500221
2.50251E+11,96388231
2.50251E+11,76546649
2.50251E+11,57718651
2.50251E+11,171129940
2.50251E+11,207131320
2.50251E+11,98819428
2.50251E+11,107611854
2.50251E+11,122904672
2.50251E+11,91405174
2.50251E+11,100560692
2.50251E+11,146614521
2.50251E+11,110601180
2.50251E+11,70609666
2.50251E+11,213869200
2.50251E+11,233211000
2.50251E+11,85930924
2.50251E+11,188830810
2.50251E+11,241145556
2.50251E+11,164206090
2.50251E+11,74763343
2.50251E+11,82440700
2.50251E+11,142892783
2.50251E+11,80358975
2.50251E+11,134590400
2.50251E+11,83476600
2.50251E+11,138222242
2.50251E+11,87960539
2.50251E+11,102699900
2.50251E+11,205144929
2.50251E+11,209799344
2.50251E+11,105548590
2.50251E+11,215894040
2.50251E+11,160917255
2.50251E+11,160829183
2.50251E+11,130038904
2.50251E+11,183306288
2.50251E+11,252512107
2.50251E+11,128146594
2.50251E+11,99123246
2.50251E+11,124804996
2.50251E+11,85416915
2.50251E+11,106777687
2.50251E+11,4909456555
2.50251E+11,47690800
2.50251E+11,113195050
2.50251E+11,190916625
2.50251E+11,133232991
2.50251E+11,194893002
2.50251E+11,116616664
2.50251E+11,339848600
2.50251E+11,4120265
2.50251E+11,10919800
2.50251E+11,446233200
2.50251E+11,1776889738
2.50251E+11,277728322
2.50251E+11,677640303
2.50251E+11,1738347800
2.50251E+11,1090631667
2.50251E+11,1075937708
2.50251E+11,131647500
2.50251E+11,52984900
2.50251E+11,26442457
2.50251E+11,104706274
2.50251E+11,7453992774
2.50251E+11,935781393
2.50251E+11,29617620
2.50251E+11,1433494570
2.50251E+11,1044690940
2.50251E+11,213941601
2.50251E+11,190268462
2.50251E+11,314726022
2.50251E+11,754823236
2.50251E+11,279457040
2.50251E+11,122807938
2.50251E+11,205687015
2.50251E+11,142318095
2.50251E+11,310642079
2.50251E+11,481293902
2.50251E+11,312358472
2.50251E+11,189075711
2.50251E+11,194873755
2.50251E+11,124209447
2.50251E+11,195492755
2.50251E+11,271867156
2.50251E+11,109079549
2.50251E+11,1173851394
2.50251E+11,4876914684
2.50251E+11,33260328
2.50251E+11,438397457
2.50251E+11,161799700
2.50251E+11,813605109
2.50251E+11,67509010
2.50251E+11,161171124
2.50251E+11,374007276
2.50251E+11,84286771
2.50251E+11,147948683
2.50251E+11,990191739
2.50251E+11,523557413
2.50251E+11,366612100
2.50251E+11,99654632
2.50251E+11,945660542
2.50251E+11,182714233
2.50251E+11,178199800
2.50251E+11,219937327
2.50251E+11,242435331
2.50251E+11,30821335049
2.50251E+11,384247001
2.50251E+11,108881671
2.50251E+11,217413721
2.50251E+11,160281723
2.50251E+11,133266400
2.50251E+11,106210385
2.50251E+11,1907855698
2.50251E+11,135166919
2.50251E+11,125699607
2.50251E+11,234762228
2.50251E+11,172113068
2.50251E+11,88384600
2.50251E+11,108257090
2.50251E+11,546819502
2.50251E+11,58031972
2.50251E+11,194872831
2.50251E+11,16649256
2.50251E+11,97769983
2.50251E+11,100066292
2.50251E+11,81735659
2.50251E+11,73544936
2.50251E+11,94244015
2.50251E+11,71336952
2.50251E+11,90481827
2.50251E+11,61344887
2.50251E+11,37506619
2.50251E+11,48744054
2.50251E+11,89796049
2.50251E+11,102397169
2.50251E+11,65638217
2.50251E+11,119746489
2.50251E+11,68851378
2.50251E+11,86931645
2.50251E+11,143522657
2.50251E+11,96101185
2.50251E+11,44908466
2.50251E+11,60167756
2.50251E+11,66311843
2.50251E+11,57893836
2.50251E+11,44115559
2.50251E+11,70119775
2.50251E+11,119228186
2.50251E+11,74967505
2.50251E+11,105379407
2.50251E+11,70157525
2.50251E+11,50010081
2.50251E+11,79826447
2.50251E+11,44453931
2.50251E+11,48850402
2.50251E+11,64010919
2.50251E+11,120869277
2.50251E+11,114805200
2.50251E+11,114771500
2.50251E+11,120560200
2.50251E+11,454637953
2.50251E+11,85079300
2.50251E+11,406011000
2.50251E+11,65630356
2.50251E+11,212930337
2.50251E+11,88505824
2.50251E+11,213484940
2.50251E+11,107711640
2.50251E+11,108291992
2.50251E+11,74172590
2.50251E+11,64360900
2.50251E+11,68917532
2.50251E+11,94424298
2.50251E+11,171539784
2.50251E+11,73885447
2.50251E+11,80895549
2.50251E+11,59859553
2.50251E+11,116071258
2.50251E+11,55715213
2.50251E+11,110850877
2.50251E+11,123639401
2.50251E+11,32646000
2.50251E+11,60674800
2.50251E+11,70808312
2.50251E+11,75333814
2.50251E+11,88115409
2.50251E+11,64978950
2.50251E+11,44865062
2.50251E+11,126393653
2.50251E+11,70957530
2.50251E+11,115274580
2.50251E+11,64034419
2.50251E+11,38502711
2.50251E+11,97605311
2.50251E+11,33224345
2.50251E+11,105213254
2.50251E+11,109528403
2.50251E+11,203278898
2.50251E+11,62177893
2.50251E+11,176801590
2.50251E+11,110587540
2.50251E+11,145338798
2.50251E+11,122072577
2.50251E+11,178600281
2.50251E+11,97216000
2.50251E+11,76983200
2.50251E+11,83935762
2.50251E+11,106476924
2.50251E+11,68953667
2.50251E+11,62052114
2.50251E+11,63306957
2.50251E+11,41141568
2.50251E+11,40626500
2.50251E+11,71656652
2.50251E+11,121819600
2.50251E+11,156596819
2.50251E+11,43188613
2.50251E+11,52112700
2.50251E+11,49750200
2.50251E+11,64433416
2.50251E+11,54995142
2.50251E+11,47250020
2.50251E+11,18281490
2.50251E+11,42068324
2.50251E+11,67884400
2.50251E+11,48244959
2.50251E+11,66008626
2.50251E+11,89774057
2.50251E+11,69271037
2.50251E+11,73231682
2.50251E+11,50034511
2.50251E+11,106100902
2.50251E+11,136828855
2.50251E+11,73231773
2.50251E+11,129653235
2.50251E+11,121559558
2.50251E+11,106712421
2.50251E+11,99104785
2.50251E+11,195750643
2.50251E+11,122389221
2.50251E+11,145530297
2.50251E+11,108281100
2.50251E+11,89463600
2.50251E+11,143192433
2.50251E+11,212411367
2.50251E+11,80411400
2.50251E+11,124754790
2.50251E+11,155527922
2.50251E+11,100771608
2.50251E+11,124951493
2.50251E+11,95376400
2.50251E+11,90996800
2.50251E+11,97983425
2.50251E+11,97862126
2.50251E+11,119766940
2.50251E+11,335500108
2.50251E+11,108515570
2.50251E+11,78102762
2.50251E+11,79439998
2.50251E+11,118220473
2.50251E+11,46763050
2.50251E+11,146128167
2.50251E+11,60926100
2.50251E+11,63894500
2.50251E+11,70714156
2.50251E+11,115066601
2.50251E+11,308431388
2.50251E+11,111538050
2.50251E+11,24896480
2.50251E+11,198712400
2.50251E+11,246073935
2.50251E+11,43537062
2.50251E+11,93036221
2.50251E+11,110276756
2.50251E+11,51485215
2.50251E+11,109499340
2.50251E+11,102029699
2.50251E+11,87627452
2.50251E+11,49311743
2.50251E+11,60246213
2.50251E+11,427883510
2.50251E+11,46418283
2.50251E+11,114347219
2.50251E+11,79359981
2.50251E+11,14478300
2.50251E+11,204115887
2.50251E+11,196583551
2.50251E+11,151722641
2.50251E+11,102052176
2.50251E+11,204144024
2.50251E+11,71741397
2.50251E+11,105002645
2.50251E+11,63954400
2.50251E+11,115634886
2.50251E+11,113647922
2.50251E+11,108115250
2.50251E+11,212898535
2.50251E+11,110135510
2.50251E+11,142119836
2.50251E+11,225793013
2.50251E+11,89088400
2.50251E+11,315805820
2.50251E+11,187598400
2.50251E+11,113582088
2.50251E+11,200729485
2.50251E+11,193313353
2.50251E+11,146963911
2.50251E+11,329697026
2.50251E+11,47605800
2.50251E+11,172790200
2.50251E+11,87744812
2.50251E+11,222827082
2.50251E+11,245735320
2.50251E+11,144892534
2.50251E+11,122213967
2.50251E+11,234300080
2.50251E+11,112261600
2.50251E+11,110954354
2.50251E+11,78237386
2.50251E+11,124564631
2.50251E+11,193233616
2.50251E+11,90276579
2.50251E+11,99930140
2.50251E+11,163339627
2.50251E+11,220574058
2.50251E+11,254257803
2.50251E+11,58894585
2.50251E+11,77048129
2.50251E+11,74067773
2.50251E+11,110265224
2.50251E+11,71283280
2.50251E+11,97229899
2.50251E+11,1196746107
2.50251E+11,78945100
2.50251E+11,177050868
2.50251E+11,59301400
2.50251E+11,101703900
2.50251E+11,138870000
2.50251E+11,107804600
2.50251E+11,161008859
2.50251E+11,127043330
2.50251E+11,122269600
2.50251E+11,119169785
2.50251E+11,349138133
2.50251E+11,182864257
2.50251E+11,162100373
2.50251E+11,174838733
2.50251E+11,210806183
2.50251E+11,188602500
2.50251E+11,131008844
2.50251E+11,121836700
2.50251E+11,182849164
2.50251E+11,2715093356
2.50251E+11,202967665
2.50251E+11,120637700
2.50251E+11,121738500
2.50251E+11,262714912
2.50251E+11,72947095
2.50251E+11,42563515
2.50251E+11,1991013
2.50251E+11,407874444
2.50251E+11,67453130
2.50251E+11,117065840
2.50251E+11,124092758
2.50251E+11,158678909
2.50251E+11,172693914
2.50251E+11,255987880
2.50251E+11,123189901
2.50251E+11,44233076
2.50251E+11,18524992
2.50251E+11,228523247
2.50251E+11,65894915
2.50251E+11,169864363
2.50251E+11,138033374
2.50251E+11,88083400
2.50251E+11,1031903900
2.50251E+11,113415509
2.50251E+11,184020723
2.50251E+11,102529730
2.50251E+11,100137790
2.50251E+11,114703694
2.50251E+11,261209046
2.50251E+11,92914800
2.50251E+11,120383215
2.50251E+11,107012000
2.50251E+11,37664952
2.50251E+11,93197400
2.50251E+11,96814383
2.50251E+11,65191000
2.50251E+11,131353592
2.50251E+11,189809127
2.50251E+11,65852100
2.5026E+11,1505500
2.5026E+11,335256700
2.5026E+11,31709710
2.5026E+11,4239400
2.5026E+11,15017300
2.5026E+11,541500
2.5026E+11,394900
2.5026E+11,240236329
2.5026E+11,2455300
2.5026E+11,752773899
2.5026E+11,37852065161
2.5026E+11,4836000
2.5026E+11,686400
2.5026E+11,6058200
2.5026E+11,121672000
2.5026E+11,10616800